FeatureIdx,Average Feature Area_small,Average Feature Area_mod,Average Feature Area_large,Maximum Inscribed Circle Radius_small,Maximum Inscribed Circle Radius_mod,Maximum Inscribed Circle Radius_large,Variance Feature Orientation_small,Variance Feature Orientation_mod,Variance Feature Orientation_large,Std Dev Inscribed Circle Radius_small,Std Dev Inscribed Circle Radius_mod,Std Dev Inscribed Circle Radius_large,Maximum Feature Area_small,Maximum Feature Area_mod,Maximum Feature Area_large,Feature Unit Cell Size_small,Feature Unit Cell Size_mod,Feature Unit Cell Size_large,Average
91,0.5105218063415035,0.049990368262534196,0.0,0.0,0.0,0.2561654700653464,0.0,0.6185368385785972,0.29108155925956314,0.0,0.0,0.301213384234948,0.2874137473322085,0.34889829271851747,0.0,0.0,1.0,0.0,47.25
92,0.34104705942346747,0.16312666609338655,0.0,0.4274333834039935,0.0064596952079937426,0.0,1.0,0.0,0.0,0.14706826125293362,0.3420378830677935,0.0,0.6825437952678638,0.019332184493949772,0.0,1.0,0.0,0.0,12.25
93,0.07636150984280006,0.614068277581907,0.0,0.6409591569744023,0.0,0.0,1.0,0.0,0.0,0.6108585762070529,0.0,0.0,0.41773785119425755,0.2114402451481103,0.0,1.0,0.0,0.0,11.625
94,0.0,0.0,0.39344748641474414,0.0,0.27779446990691736,0.04985494649867548,1.0,0.0,0.0,0.0,0.1397237201467424,0.052493770593359385,0.0,0.0,0.35488661065823623,0.0,0.0,1.0,14.66666667
95,0.0,0.0,0.3535745720420804,0.0,0.0,0.19073138406036957,1.0,0.0,0.0,0.0,0.1360087059107886,0.05293057889984995,0.0,0.0,0.3156028750747544,0.0,0.0,1.0,12.0
96,0.9027137135951171,0.0,0.0,0.021732243222118367,0.7770353414607505,0.0,0.0,0.9496277173665632,0.0050782253021074,0.035976182455572235,0.6758626251981419,0.0,0.5222743505416059,0.11629943090617248,0.0,0.0,1.0,0.0,60.91666667
97,0.8899933107741678,0.0,0.0,0.5229260812408744,0.0,0.0,0.9183668580411513,0.08163314195884865,0.0,0.36818510189264503,0.0,0.0,0.9030189624833633,0.0,0.0,1.0,0.0,0.0,11.58333333
98,0.0,0.0,0.40844997241292724,0.0,0.0,0.15557169930995424,1.0,0.0,0.0,0.0,0.18578707722099164,0.047101514426610834,0.0,0.0,0.36972189472311273,0.0,0.0,1.0,11.83333333
99,0.0,0.9040326452232357,0.0007774768597521692,0.0,0.16671872833347168,0.06624242673291647,0.6254382125474032,0.37456178745259683,0.0,0.0,0.5715232638134377,0.013108763702104426,0.0,0.4137452960982373,0.0295360229164326,0.0,0.0,1.0,28.66666667
100,0.0,0.0,0.10301579367002328,0.03392171773976266,0.719985404131722,0.0,1.0,0.0,0.0,0.003204173556816966,0.9109351994989525,0.0,0.0,0.053574965339671224,0.07681641348577944,0.0,1.0,0.0,15.0
101,0.0,0.0,0.0968105198931978,0.0,0.5815658242351165,0.016721853945421545,1.0,0.0,0.0,0.0,0.5250917796444065,0.01601977097144874,0.0,0.08873044167161814,0.07127073269720839,0.0,1.0,0.0,12.875
102,0.06359071015924414,0.6419296586120902,0.0,0.49720760256918106,0.0,0.0,1.0,0.0,0.0,0.3884010692401528,0.0,0.0,0.4004219893391753,0.22719976652560922,0.0,1.0,0.0,0.0,10.25
103,0.0,0.013154104656745082,0.08216337556990568,0.0,0.11136850677728674,0.07537556389778387,1.0,0.0,0.0,0.0,0.0,0.10007527366684006,0.0,0.1756783521489404,0.058311987022285156,0.0,1.0,0.0,16.08333333
104,0.0,0.0,0.7481985802446645,0.0,0.031058188470168814,0.08991240843663913,1.0,0.0,0.0,0.0,0.2816362776982092,0.03662906495915928,0.0,0.0,0.72761593958657,0.0,0.0,1.0,12.83333333
105,0.7960275602755464,0.0,0.0,0.0,0.0,0.22219419051972145,0.0,0.9666938497869341,0.0022825177331585694,0.0,0.0,0.2983451334099596,0.8036451924148913,0.0,0.0,0.0,1.0,0.0,41.08333333
106,0.3448137196083751,0.15796715108779708,0.0,0.31846805024172153,0.13691682673690705,0.0,1.0,0.0,0.0,0.5837871049076067,0.0,0.0,0.6853772943424058,0.017933962500304955,0.0,1.0,0.0,0.0,21.58333333
107,0.0,0.0,0.6626056163065003,0.0,0.14039059735483253,0.07058673511618863,1.0,0.0,0.0,0.0,0.5294890460642974,0.015744085738839186,0.0,0.0,0.6350264943390209,0.0,0.0,1.0,16.75
108,0.9960869284251441,0.0,0.0,0.6814306158179845,0.0,0.0,0.0,0.9014699239674172,0.01946709703210648,0.6774472401890077,0.0,0.0,0.9976387507712151,0.0,0.0,1.0,0.0,0.0,78.83333333
109,0.0,0.0,0.605654857310267,0.0,0.0,0.1835789426527861,1.0,0.0,0.0,0.0,0.0,0.10795062155252437,0.0,0.0,0.5734205028591707,0.0,0.0,1.0,15.25
